Well name: E01
Perforation interval: 2308 to 2365
Fluid in place: brine
Initial pressure:      208.971
Temperature:      347.315
time(day)	 water_rate(m3/d)	 BHP(bars)
0.000001	     200.000	  208.736495
0.000002	     200.000	  208.733799
0.000004	     200.000	  208.733187
0.000006	     200.000	  208.732411
0.000009	     200.000	  208.731425
0.000013	     200.000	  208.730176
0.000018	     200.000	  208.728603
0.000024	     200.000	  208.726637
0.000032	     200.000	  208.724193
0.000043	     200.000	  208.721179
0.000056	     200.000	  208.717493
0.000074	     200.000	  208.713024
0.000098	     200.000	  208.707659
0.000128	     200.000	  208.701291
0.000167	     200.000	  208.693830
0.000218	     200.000	  208.685215
0.000285	     200.000	  208.675431
0.000372	     200.000	  208.664523
0.000484	     200.000	  208.652610
0.000630	     200.000	  208.639876
0.000820	     200.000	  208.626559
0.001067	     200.000	  208.612956
0.001388	     200.000	  208.599300
0.001806	     200.000	  208.585857
0.002349	     200.000	  208.572672
0.003054	     200.000	  208.559826
0.003972	     200.000	  208.547270
0.005164	     200.000	  208.534934
0.006715	     200.000	  208.522746
0.008730	     200.000	  208.510660
0.011350	     200.000	  208.498645
0.014756	     200.000	  208.486686
0.019184	     200.000	  208.474758
0.024940	     200.000	  208.462824
0.032423	     200.000	  208.450841
0.042151	     200.000	  208.438689
0.054797	     200.000	  208.426434
0.071237	     200.000	  208.413938
0.092609	     200.000	  208.401026
0.120393	     200.000	  208.388095
0.156512	     200.000	  208.374885
0.203466	     200.000	  208.361529
0.264507	     200.000	  208.348115
0.343860	     200.000	  208.334659
0.447019	     200.000	  208.321213
0.581126	     200.000	  208.307927
0.755465	     200.000	  208.294713
0.982106	     200.000	  208.281397
1.276738	     200.000	  208.267888
1.659761	     200.000	  208.253939
2.157690	     200.000	  208.239395
2.804998	     200.000	  208.224159
3.646498	     200.000	  208.208093
4.740449	     200.000	  208.191286
6.162584	     200.000	  208.173649
8.011361	     200.000	  208.155924
10.000000	     200.000	  208.140397
10.000001	       0.000	  208.415448
10.000002	      -0.000	  208.416724
10.000004	      -0.000	  208.417333
10.000006	      -0.000	  208.418109
10.000009	      -0.000	  208.419095
10.000013	      -0.000	  208.420343
10.000018	      -0.000	  208.421915
10.000024	      -0.000	  208.423880
10.000032	      -0.000	  208.426322
10.000043	      -0.000	  208.429334
10.000056	      -0.000	  208.433018
10.000074	      -0.000	  208.437485
10.000098	      -0.000	  208.442847
10.000128	      -0.000	  208.449212
10.000167	      -0.000	  208.456670
10.000218	      -0.000	  208.465282
10.000285	      -0.000	  208.475066
10.000372	      -0.000	  208.485975
10.000484	      -0.000	  208.497885
10.000630	      -0.000	  208.510619
10.000820	      -0.000	  208.523928
10.001067	      -0.000	  208.537531
10.001388	      -0.000	  208.551157
10.001806	      -0.000	  208.564664
10.002349	      -0.000	  208.577826
10.003054	      -0.000	  208.590686
10.003972	      -0.000	  208.603253
10.005164	      -0.000	  208.615562
10.006715	      -0.000	  208.627731
10.008730	      -0.000	  208.639796
10.011350	      -0.000	  208.651808
10.014756	      -0.000	  208.663757
10.019184	      -0.000	  208.675628
10.024940	      -0.000	  208.687506
10.032423	      -0.000	  208.699445
10.042151	      -0.000	  208.711488
10.054797	      -0.000	  208.723671
10.071237	      -0.000	  208.736070
10.092609	      -0.000	  208.748686
10.120393	      -0.000	  208.761487
10.156512	      -0.000	  208.774445
10.203466	      -0.000	  208.787498
10.264507	      -0.000	  208.800550
10.343860	      -0.000	  208.813473
10.447019	      -0.000	  208.826194
10.581126	      -0.000	  208.838645
10.755465	      -0.000	  208.850832
10.982106	      -0.000	  208.862898
11.276738	      -0.000	  208.874859
11.659761	      -0.000	  208.886982
12.157690	      -0.000	  208.898994
12.804998	      -0.000	  208.911215
13.646498	      -0.000	  208.923679
14.740449	      -0.000	  208.936456
16.162584	      -0.000	  208.949301
18.011361	      -0.000	  208.962061
